Red,Green,Blue
0.471,0.353,0.176
0.484,0.339,0.177
0.472,0.34,0.189
0.463,0.352,0.185
0.45,0.35,0.2
0.433,0.367,0.2
0.433,0.367,0.2
0.452,0.355,0.194
0.472,0.361,0.167
0.467,0.356,0.178
0.491,0.34,0.17
0.489,0.34,0.17
0.5,0.333,0.167
0.488,0.349,0.163
0.515,0.333,0.152
0.515,0.333,0.152
0.5,0.333,0.167
0.5,0.333,0.167
0.5,0.35,0.15
0.474,0.368,0.158
0.45,0.35,0.2
0.389,0.389,0.222
0.437,0.375,0.187
0.437,0.375,0.187
0.421,0.368,0.211
0.409,0.364,0.227
0.391,0.391,0.217
0.387,0.387,0.226
0.387,0.387,0.226
0.414,0.379,0.207
0.414,0.379,0.207
0.393,0.393,0.214
0.406,0.375,0.219
0.414,0.379,0.207
0.419,0.387,0.194
0.423,0.385,0.192
0.417,0.375,0.208
0.391,0.391,0.217
0.391,0.391,0.217
0.391,0.391,0.217
0.4,0.4,0.2
0.4,0.4,0.2
0.421,0.368,0.211
0.429,0.381,0.19
0.44,0.36,0.2
0.429,0.381,0.19
0.429,0.381,0.19
0.45,0.35,0.2
0.444,0.389,0.167
0.45,0.35,0.2
0.437,0.375,0.187
0.471,0.353,0.176
0.437,0.375,0.187
0.444,0.389,0.167
0.471,0.353,0.176
0.45,0.35,0.2
0.429,0.357,0.214
0.423,0.385,0.192
0.419,0.387,0.194
0.406,0.375,0.219
0.406,0.375,0.219
0.389,0.389,0.222
0.419,0.387,0.194
0.394,0.394,0.212
0.393,0.393,0.214
0.412,0.382,0.206
0.389,0.389,0.222
0.41,0.385,0.205
0.394,0.394,0.212
0.4,0.4,0.2
0.4,0.4,0.2
0.4,0.4,0.2
0.4,0.4,0.2
0.391,0.391,0.217
0.4,0.4,0.2
0.375,0.417,0.208
0.393,0.393,0.214
0.385,0.385,0.231
0.37,0.407,0.222
0.37,0.407,0.222
0.391,0.391,0.217
0.375,0.417,0.208
0.381,0.381,0.238
0.4,0.4,0.2
0.409,0.409,0.182
0.4,0.4,0.2
0.4,0.4,0.2
0.4,0.4,0.2
0.407,0.407,0.185
0.4,0.4,0.2
0.391,0.391,0.217
0.375,0.406,0.219
0.4,0.4,0.2
0.409,0.364,0.227
0.5774470320072836,0.5150929642749689,0.22462731924090637
0.5194337677017435,0.32190679873471245,0.08383472149126697
0.7099241742057252,0.5273133391474782,0.14870986734478828
0.8098147100318418,0.6305098363864499,0.2893461984944763
0.527579460923455,0.6032347620167264,0.23407081540959085
0.5107735104935038,0.5065899317852799,0.09615653286939765
